Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Tag_412,默认变量表,Bool,%M115.2,,True,True,True,,
Tag_413,默认变量表,Bool,%M116.1,,True,True,True,,
Tag_414,默认变量表,Bool,%M116.2,,True,True,True,,
Tag_415,默认变量表,Bool,%M117.1,,True,True,True,,
Tag_416,默认变量表,Bool,%M117.2,,True,True,True,,
Tag_417,默认变量表,Bool,%M118.1,,True,True,True,,
Tag_418,默认变量表,Bool,%M118.2,,True,True,True,,
Tag_419,默认变量表,Bool,%M119.1,,True,True,True,,
Tag_420,默认变量表,Bool,%M119.2,,True,True,True,,
Tag_421,默认变量表,Bool,%M120.1,,True,True,True,,
Tag_422,默认变量表,Bool,%M120.2,,True,True,True,,
Tag_423,默认变量表,Bool,%M121.1,,True,True,True,,
Tag_424,默认变量表,Bool,%M121.2,,True,True,True,,
Tag_425,默认变量表,Bool,%M122.1,,True,True,True,,
Tag_426,默认变量表,Bool,%M122.2,,True,True,True,,
